CENSO DA EDUCAÇÃO SUPERIOR 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEIAUTE DE MIGRAÇÃO – ARQUIVO ALUNO;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Campo;Tamanho;"Fixo/
Variável";Tipo;Inteiro/Decimal;Preenchimento ;1ª Etapa de Validação;2ª Etapa de Validação;;;;;;;;;;;;;;;;;;;;
12;"Aluno com Deficiência, Transtorno do espectro autista (TEA), altas habilidades ou superdotação
";1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Não
1 - Sim
2 – Não dispõe da informação
Caso seja informado valor diferente, apresentear a mensagem ""Preencher com um dos valores: 0,1,2""

Os tipos de deficiência ""Cegueira"" ou ""Baixa visão"" ou ""Visão monocular"" ou ""Surdocegueira"", quando informados simultaneamente, apresenta a mensagem "" apresenta a mensagem: “Não é possível informar 'cegueira' ou 'Baixa visão"" ou ""visão monocular' ou 'surdocegueira' simultaneamente.”

Os tipos de deficiência ""Surdez"" ou ""Deficiência auditiva"" ou ""Surdocegueira"", quando informados simultâneamente apresenta a mensagem, “Não é possível informar 'surdez' ou 'deficiência auditiva' ou 'surdocegueira' simultaneamente.”

Os tipos de deficiência ""Cegueira"" ou ""Surdez"" ou ""Surdocegueira"", quando informados simultaneamente, apresenta a mensagem “Não é possível informar 'cegueira' ou 'surdez' ou 'surdocegueira' simultaneamente.”

É necessário informar ao menos um ""Tipo de deficiência"" se marcado a opção ""1 - Sim"". Se nenhum dos campos de ""Tipo de deficiência"" possuírem valor igual a ""1 - Sim"", então deve apresentar mensagem: ""Pelo menos um Tipo de deficiência deve ser preenchido com '1 - Sim' quando o campo 'Deficiência, Transtorno do espectro autista (TEA), altas habilidades ou superdotação' é informado com '1 - Sim'.""";"Se o indicativo de Aluno com Deficiência informado é igual a Não ou Não dispõe da informação e existe pelo menos um vínculo, independente de IES, com marcação de programa de reserva de vaga - pessoa com deficiência e o aluno possui a deficiência, no censo, apresentar mensagem ""Não pode ser alterado. O aluno está vinculado a um programa de reserva de vagas para deficiente em outra IES.""";;;;;;;;;;;;;;;;;;;;
13;Tipo de deficiência - Cegueira;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-cegueira não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
14;Tipo de deficiência - Baixa visão;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência Baixa visão não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
15;Tipo de deficiência - Visão monocular;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência  visão monocular não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
16;Tipo de deficiência - Surdez;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-surdez não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
17;Tipo de deficiência - auditiva;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-Auditiva não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
18;Tipo de deficiência - física;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-Física não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
19;Tipo de deficiência - Surdocegueira;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-Surdocegueira não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
20;Tipo de deficiência - Intelectual;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-Intelectual não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência""."; ;;;;;;;;;;;;;;;;;;;;
21;Tipo de deficiência - Transtorno do espectro autista (TEA);1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de Transtorno do espectro autista (TEA) não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
22;Tipo de deficiência - Altas habilidades ou superdotação;1;Fixo;Numérico;Inteiro;Condicional;"Se o campo aluno com deficiencia for informado com o valor ""1-Sim"" e tipo de deficiência-Altas habilidades ou superdotação não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para aluno com deficiência"".

Valores válidos:
0 - Não
1 - Sim
Se o tipo de deficiência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o tipo de deficiência for informado quando informado ""0-Não"" ou ""2 – Não dispõe da informação"" no campo ""Aluno com deficiência"", deverá apresentar a mensagem: ""Preenchimento exclusivo para aluno com deficiência"".";;;;;;;;;;;;;;;;;;;;;
23;Tipo de escola que concluiu o Ensino Médio;1;Fixo;Numérico;Inteiro;Obrigatório;"Valores válidos:
0 - Privado
1 - Público
2 - Não dispõe da informação
Se o campo Tipo de escola que concluiu o Ensino Médio não for informado ou informado com valor inválido, deverá apresentar a mensagem: ""Preencher com um dos valores: 0,1,2""";"Se for informada a opção 2 – Não dispõe da informação, aluno não é estrangeiro, o ano de ingresso for maior ou igual do que 2013 e a data de ingresso no Curso Origem for maior ou igual a 2013, deverá apresentar a mensagem: ""A opção 'Não dispõe da informação' somente poderá ser informada para vínculo com ano de ingresso menor que 2013 ou para alunos estrangeiros""";;;;;;;;;;;;;;;;;;;;
REGISTRO DO VÍNCULO ALUNO COM CURSO - REGISTRO 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tipo de registro;2;Fixo;Numérico;Inteiro;Obrigatório;"Se o tipo do registro informado for diferente de 42 deverá aparecer a mensagem: ""Preencher com o valor 42"".";;;;;;;;;;;;;;;;;;;;;
2;ID na IES - Identificação única do aluno na IES;20;Variável;Alfanumérico;-;Opcional;"Código do aluno na IES.
Valores válidos: Alfanumérico (A-Z) (0 - 9)";;;;;;;;;;;;;;;;;;;;;
3;Período de referência;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
1 - Primeiro semestre
2 - Segundo semestre
Se o período de referência for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),1,2"".

Definição:
Primeiro semestre – 01/01/ano do censo a 30/06/ano do censo.
Segundo semestre – 01/07/ano do censo a 31/12/ano do censo.";"Se o campo Período de referência não for preenchido quando a IES é Universidade Federal, deverá apresentar a mensagem: ""Obrigatório informar se a informação refere-se ao 1° ou 2° período de referência"".

Se o campo Período de referência for preenchido quando a IES não é Universidade Federal, deverá apresentar a mensagem: ""Período de referência somente poderá ser informado quando a IES é Universidade Federal""

Se aluno possui vínculo no primeiro Período de referência como ""2- Cursando"" ou ""3 -Matrícula Transcada"" e não informar vínculo ao segundo semestre no mesmo curso, apresentar mensagem, ""Se o aluno possui vínculo ativo ('Cursando' ou 'Matrícula Trancada') no primeiro período de referência, deve possuir um vínculo no segundo período para o curso""

Se informado no vínculo do segundo período data de ingresso igual ao primeiro semestre do ano do censo, em que o curso não é um curso vinculado a uma ABI com curso origem a ABI ou vinculado a mesma ABI, e não foi informado vínculo no primeiro período de referência no mesmo curso, apresentar mensagem,
""É obrigatório possuir vínculo nesse mesmo curso no PRIMEIRO período de referência, pois a data de ingresso é referente ao PRIMEIRO período de referência.""";;;;;;;;;;;;;;;;;;;;
4;Código do Curso;12;Variável;Numérico;Inteiro;Obrigatório;"Se o vínculo do curso já tiver sido informado com mesmo período de referência no arquivo, deverá apresentar a mensagem: ""Curso e semestre já informados""";"Código do Curso deve estar vinculado a IES. Caso contrário, apresentar mensagem ""Código informado inválido"".

Curso deve ter sido informado como “Possui aluno vinculado no ano de referência”. Caso contrário, apresentar mensagem ""Curso informado como “Não possui aluno vinculado no ano de referência do Censo”.

Se o curso não tiver sido preenchido, apresentar mensagem ""Curso não atualizado"".

Se o aluno possuir vínculo no mesmo período de referência a um curso BI/LI e a um curso terminalidade do mesmo BI/LI, apresentar mensagem,
""Um aluno não pode estar vinculado a um BI/LI e a um curso terminalidade correspondente no mesmo período de referência"".";;;;;;;;;;;;;;;;;;;;
5;Código do pólo do curso a distância ;12;Variável;Numérico (tabela);Inteiro;Condicional;;"Se não informado o ""Código do polo do curso a distância no INEP"" e curso possuir ""Formato de oferta"" igual a ""curso a distância"", deverá a apresentar mensagem, ""Obrigatório informar quando o curso for a distância"".

Código do polo deve ser um código de local de oferta válido. Caso contrário, apresentar mensagem, ""Código informado inválido"".

Se o polo não estiver vinculado ao curso informado no campo ID do curso no INEP, apresentar mensagem, ""Polo não está vinculado ao curso informado"".

Se informado ""Código do polo do curso a distância"" se o curso não possui o formato de oferta igual a ""Curso a Distância"" ou ""semipresencial"", apresentar mensagem ""Somente poderá ser informado quando o curso for a distância ou semipresencial"".

Se o código do polo informado não estiver preenchido com a opção ""Sim"" no campo ""Local de oferta esteve em funcionamento?"", então apresentar mensagem: Polo deve estar com o campo ""Local de oferta esteve em funcionamento?"" preenchido com a opção ""Sim"".

Se não informado o ""Código do polo do curso a distância no INEP"" e curso possuir ""Formato de oferta"" igual a ""semipresencial"", deverá a apresentar mensagem, ""Obrigatório informar quando o curso for semipresencial"".";;;;;;;;;;;;;;;;;;;;
6;Turno do aluno;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
1.Matutino
2.Vespertino
3.Noturno
4.Integral
Se turno for informado com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),1,2,3,4"".";"Se o campo turno do aluno não for preenchido quando o curso for de formato de oferta igual a presencial, deverá apresentar a mensagem: ""Obrigatório informar quando o curso for presencial"".

Se o campo turno for preenchido quando o curso for de formato de oferta diferente de presencial, deverá apresentar a mensagem: ""Somente poderá ser informado quando o curso for presencial"" 

Se informado o turno que não pertence ao curso, deverá apresentar mensagem de erro: ""O turno informado não pertence ao curso. Favor verificar o turno de funcionamento.""";;;;;;;;;;;;;;;;;;;;
7;Situação de vínculo do aluno ao curso;1;Fixo;Numérico ;Inteiro;Obrigatório;"Valores válidos:
2 – Cursando
3 – Matrícula trancada
4 – Desvinculado do curso
5 - Transferência Interna
6 – Formado
7 – Falecido
Se a Situação do vínculo for informada com algum valor diferente do especificado, deve aparecer a mensagem: ""Preencher com um dos valores: 2,3,4,5,6,7""

Se a situação do vínculo do aluno for “6 - Formado” e o aluno tem idade menor que 13 anos com relação à data de referência do Censo (31/12/2016), deverá apresentar a mensagem: ""Idade do aluno formado não deve ser inferior a 13 anos.""";"--- Todos os cursos ---

Se um vínculo em uma IES possuir situação do aluno igual a ""5 - Transferência Interna"" e não possuir outro vínculo com o curso de origem preenchido, deverá apresentar a mensagem: ""Existe um aluno com situação de vínculo igual a Transferido, portanto é necessário que exista outro vínculo com o curso origem preenchido.""

--- Cursos ABI ---

Se um aluno for vinculado simultaneamente a uma ABI e a um curso vinculado a essa mesma ABI, com situações de ""Cursando"" ou ""Matrícula trancada"" em ambos os cursos, deverá apresentar a mensagem: ""O aluno não pode ser vinculado, simultaneamente, a um curso ABI e a outro curso vinculado à essa ABI, com a situação Cursando ou Matrícula trancada em ambos""

Se informada a opção ""6 – Formado"", quando o curso informado for do tipo Área Básica do curso, deverá apresentar a mensagem: “A opção “Formado” não pode ser informada quando o curso for do tipo Área Básica do curso.”


---Para Universidade Federal:  

""As situações Cursando e Matrícula Trancada não poderão ser informadas no vínculo do aluno no 2° semestre, se o curso estiver com situação de funcionamento extinto no e-MEC no ano de referência do Censo.""

Se informado situação de vínculo ""Formado"" no vínculo no 1º semestre e possui vínculo no segundo semestre do mesmo curso, apresentar a mensagem ""Como o aluno possui o vínculo com situação Formado no Primeiro semestre, não é possível ter vínculo com o mesmo curso no Segundo semestre.""

Se informado situação de vínculo ""Falecido"" em algum  vínculo no 1º semestre e possui vínculo no segundo semestre, apresentar a mensagem ""Como o aluno possui o vínculo com situação Falecido no Primeiro semestre, não é possível ter vínculo com qualquer curso no Segundo semestre.""

Se o aluno, em uma IES, possuir um vínculo com um curso ABI e um outro com um curso vinculado à esta ABI, e em ambos os vínculos a situação seja 2- Cursando ou 3 - Matrícula Trancada, no mesmo semestre de referência, apresentar mensagem ""Aluno não pode estar com mais de um vínculo ativo (na situação de Cursando ou Matrícula Trancada) em ABI e curso vinculado a mesma ABI simultaneamente.""

---Para demais IES: 

""As situações Cursando e Matrícula trancada não poderão ser informadas quando o curso estiver com situação de funcionamento extinto no e-MEC no ano de referência do Censo.""

Aluno com mais de um vínculo na mesma IES e possuir pelo menos uma situação Falecido, as situações dos outros vínculos devem ser: Transferência interna ou Formado ou Falecido. Caso contrário, deve apresentar mensagem: ""Aluno não pode possuir situação de vínculo igual a Falecido com algum curso e em outro curso uma situação diferente de Falecido ou Transferência Interna ou Formado.""";;;;;;;;;;;;;;;;;;;;
8;Curso origem;12;Variável;Numérico;Inteiro;Condicional;"Se informado curso origem e o vínculo no curso do aluno possuir a situação “5 – Transferido para outro curso da mesma IES”, deverá apresentar a mensagem: ""Não é possível informar curso origem se a situação do vínculo é Transferido para outro curso da mesma IES.""

Se o vínculo no curso de origem do aluno não possuir a situação “5 – Transferido para outro curso da mesma IES”, deverá apresentar a mensagem: ""Curso de origem informado inválido, pois a situação do vínculo no curso origem não é Transferido para outro curso da mesma IES.""

Se o código informado no campo ""Código do Curso"" for o mesmo informado no campo ""Curso Origem"", no mesmo vínculo, apresentar mensagem, ""Códigos dos cursos de “origem” e de “destino” não podem ser iguais.""

Caso um vínculo em uma IES possua situação do aluno igual a 5 (transferido para outro curso da mesma IES), e não houver outro vínculo dentro da mesma IES (no caso das Universidades Federais, também no mesmo período de referência) com o campo ""curso origem"" preenchido, apresentar mensagem ""Existe um aluno com situação de vínculo igual a Transferido, portanto é necessário que exista outro vínculo com o curso origem preenchido.""";"--- Todos os cursos ---
Um vínculo de aluno com situação de transferência interna não pode possuir o campo ""Curso origem"" preenchido. Caso possua, apresentar mensagem: ""O campo curso origem não deve ser informado se a situação de vínculo do aluno for igual a Transferência Interna.""

O vínculo de origem da transferência deve necessariamente possuir situação de vínculo do aluno igual a ""Transferência interna"". Caso seja diferente, apresentar mensagem: ""A situação do aluno no vínculo do curso de origem deve ser igual a Transferência Interna.""

Os cursos de destino e de origem da transferência interna devem ser da mesma IES. Caso contrário, apresentar mensagem: ""Os cursos destino e origem devem pertencer à mesma IES.""

--- Cursos ABI ---
Se o semestre de ingresso no curso origem ABI for diferente do semestre de ingresso do curso vinculado à mesma ABI, deverá apresentar a mensagem: ""A data de ingresso do curso ""origem"" e do curso ""destino"", pertencentes ao mesmo grupo ABI, devem ser iguais""

A transferência de um curso vinculado a uma ABI para essa mesma ABI não é permitido, apresentando a mensagem, ""Curso vinculado não pode ser curso origem de um curso ABI.""

Se o semestre de ingresso no curso origem vinculado a ABI for diferente do semestre de ingresso do curso vinculado a mesma ABI (curso destino), deverá apresentar a mensagem: ""A data de ingresso do curso origem e destino, pertencentes ao mesmo grupo ABI, devem ser iguais"". 

--- Demais Cursos (não ABI) ---
Se a data de ingresso no curso de origem for posterior  a dade de ingresso do curso atual de destino, deverá apresentar a mensagem: ""A data de ingresso no curso de destino não pode ser anterior a data de ingresso do curso origem.""

Se o curso não for ABI e for curso origem em mais de um vínculo do aluno, deverá apresentar a mensagem:  ""Somente é possível informar o curso origem em um único curso destino.""

Para Univerdade Federal:
As datas de ingresso nos cursos de “destino” devem ser do mesmo período de referência e ano de referência do censo. Caso contrário, apresentar mensagem, ""A data de ingresso do curso destino deve ser do mesmo semestre/ano em que a transferência ocorreu.""

As transferências só podem ocorrer dentro do mesmo período de referência, ou seja, os vínculos de origem e de destino devem possuir o campo Período de referência iguais. Caso contrário, apresentar mensagem: ""Curso origem deve ser do mesmo semestre do curso atual.""


Para demais IES:
As datas de ingresso nos cursos de “destino” devem ser do mesmo ano de referência do censo. Caso contrário, apresentar a mensagem: ""A data de ingresso do curso destino deve ser do mesmo semestre/ano em que a transferência ocorreu.""

Os campos ""código curso"" dos vínculos de “destino” e “origem” devem pertencer à mesma IES. Caso contrário, apresentar a mensagem, ""Os códigos de curso devem pertencer à mesma IES""";;;;;;;;;;;;;;;;;;;;
