IES - CENSO DA EDUCAÇÃO SUPERIOR 2025;;;;;;;;;;;;;;;;;;;;;;;;;;
LEIAUTE DE MIGRAÇÃO – ARQUIVO  LABORATORIO;;;;;;;;;;;;;;;;;;;;;;;;;;
#;Campo;;Tamanho;"Fixo/
Variável";Tipo;Inteiro/Decimal;Preenchimento;1ª Etapa de Validação;2ª Etapa de Validação;;;;;;;;;;;;;;;;;
9;Área de conhecimento do laboratório. Ciências Biológicas;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
10;Área de conhecimento do laboratório. Engenharias;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
11;Área de conhecimento do laboratório.  Ciência da Saúde;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
12;Área de conhecimento do laboratório. Ciências Agrárias;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
13;Área de conhecimento do laboratório. Ciências Sociais Aplicadas;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
14;Área de conhecimento do laboratório. Ciências Humanas;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".
";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
15;Área de conhecimento do laboratório. Linguística, Letras e Artes;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";"Somente é possível informar no máximo duas áreas de conhecimento, caso seja informado mais de duas áreas, apresentar mensagem:
""Somente duas áreas podem ser informadas, verifique as opções selecionadas.""";;;;;;;;;;;;;;;;;
16;O laboratório é itinerante?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
17;Código da UF do laboratório;;2;Fixo;Numérico;Inteiro;Condicional;"Se o campo ""O laboratório é itinerante?""  for informado com o valor ""0-Não"" e o campo UF do laboratório não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório do código da UF do laboratório""

Se o código da UF não for um valor válido de acordo com a tabela corporativa de UF, deverá aparecer a mensagem: ""UF com código desconhecido"".

Se for informado o Código do município do laboratório e não for informado a UF do laboratório, apresentar mensagem: ""UF do laboratório é um campo obrigatório quando informado Município do laboratório""";;;;;;;;;;;;;;;;;;
18;Código do município do laboratório;;7;Fixo;Numérico;Inteiro;Condicional;"Se o campo ""O laboratório é itinerante?""  for informado com o valor ""0-Não"" e o campo município do laboratório não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório do código do município do laboratório""

Se informado Município e a UF do laboratório não for informado, apresentar mensagem ""Somente é possível informar o município do laboratório, se informada a UF do laboratório.""

Se o código do municipio não for um valor válido de acordo com a tabela corporativa de município, deverá aparecer a mensagem: ""Município com código desconhecido"".

O município deve pertencer a UF informada no campo UF de nascimento. Caso contrário apresentar mensagem ""Município não pertence à UF"".";;;;;;;;;;;;;;;;;;
17;Além dos alunos de graduação, houve outros estudantes que utilizaram o laboratório durante o ano letivo de 2025?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
18;Durante o ano letivo de 2025, o laboratório foi utilizado para a finalidade de Ensino?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
19;Durante o ano letivo de 2025, o laboratório foi utilizado para a finalidade de Pesquisa?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
20;Durante o ano letivo de 2025, o laboratório foi utilizado para a finalidade de Extensão?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
21;Durante o ano letivo de 2025, o laboratório executou plano, procedimento ou protocolo formal de Política de acesso e agendamento?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
2 - Não se aplica

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,2"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
22;Durante o ano letivo de 2025, o laboratório executou plano, procedimento ou protocolo formal de Manutenção?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
2 - Não se aplica

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,2"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
23;Durante o ano letivo de 2025, o laboratório executou plano, procedimento ou protocolo formal de Gerenciamento de riscos?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
2 - Não se aplica

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,2"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
24;Durante o ano letivo de 2025, o laboratório executou plano, procedimento ou protocolo formal de gerenciamento de resíduos?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
2 - Não se aplica

Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (Vazio),0,1,2"".

Preenchimento obrigatório caso o campo ""O laboratório esteve ativo no ano de 2025?"" foi respondido com a opção ""1-Sim""";;;;;;;;;;;;;;;;;;
25;O laboratório está localizado em algum local de oferta da IES?;;1;Fixo;Numérico;Inteiro;Condicional;"Valores válidos:
0 - Não
1 - Sim
Se for informado um valor diferente, deve aparecer a mensagem: ""Preencher com um dos valores: (vazio),0,1"".

Se o campo ""O laboratório é itinerante?"" foi informado com ""0-Não"" e esse campo não for preenchido, apresentar mensagem: ""Campo de preenchimento obrigatório quando o campo ""O laboratório é itinerante?"" for preenchido com ""0-Não""

Se o campo ""O laboratório é itinerante?"" foi informado com ""1-Sim"" e esse campo  for preenchido, apresentar mensagem: ""Campo não deve ser preenchimento  quando o campo ""O laboratório é itinerante?"" for preenchido com ""1-Sim""";;;;;;;;;;;;;;;;;;
26;Código do local de oferta;;12;Variável;Numérico (tabela);Inteiro;Condicional;"Se o campo ""O laboratório está localizado em algum local de oferta da IES?"" foi informado com ""1-Sim"" e esse campo não for preenchido, apresentar mensagem: ""Campo de preenchimento obrigatório quando o campo ""O laboratório está localizado em algum local de oferta da IES?"" for preenchido com ""1-Sim""

Se o campo ""O laboratório está localizado em algum local de oferta da IES?"" foi informado com ""0-Não"" e esse campo  for preenchido, apresentar mensagem: ""Campo somente deve ser preenchimento quando o campo ""O laboratório está localizado em algum local de oferta da IES?"" for preenchido com ""1-Sim""

";"Código do local de oferta deve ser um código de local de oferta válido. Caso contrário, apresentar mensagem, ""Código informado inválido"".

Se o local de oferta não estiver vinculado ao curso informado no campo ID do curso no INEP, apresentar mensagem, ""local de oferta não está vinculado a nenhum curso informado"".

Se o código do local de oferta informado não estiver preenchido com a opção ""Sim"" no campo ""Local de oferta esteve em funcionamento?"", então apresentar mensagem: Local de oferta deve estar com o campo ""Local de oferta esteve em funcionamento?"" preenchido com a opção ""Sim"".";;;;;;;;;;;;;;;;;
27;Código da UF do laboratório;;2;Fixo;Numérico;Inteiro;Condicional;"Se o campo ""O laboratório está localizado em algum local de oferta da IES?""  for informado com o valor ""0-Não"" e o campo UF do laboratório não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório do código da UF do laboratório""

Se o campo ""O laboratório está localizado em algum local de oferta da IES?""  for informado com o valor ""1-Sim"" e o campo UF do laboratório  for informado, deverá apresentar a mensagem: ""O campo UF não deve ser informado quando o campo ""O laboratório está localizado em algum local de oferta da IES?"" for informado como ""1-Sim""

Se o código da UF não for um valor válido de acordo com a tabela corporativa de UF, deverá aparecer a mensagem: ""UF com código desconhecido"".

Se for informado o Código do município do laboratório e não for informado a UF do laboratório, apresentar mensagem: ""UF do laboratório é um campo obrigatório quando informado Município do laboratório""

";;;;;;;;;;;;;;;;;;
28;Código do município do laboratório;;7;Fixo;Numérico;Inteiro;Condicional;"Se o campo ""O laboratório está localizado em algum local de oferta da IES?""  for informado com o valor ""0-Não"" e o campo município do laboratório não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório do código do município do laboratório""

Se o campo ""O laboratório está localizado em algum local de oferta da IES?""  for informado com o valor ""1-Sim"" e o campo Município do laboratório  for informado, deverá apresentar a mensagem: ""O campo município não deve ser informado quando o campo ""O laboratório está localizado em algum local de oferta da IES?"" for informado como ""1-Sim""

Se informado Município e a UF do laboratório não for informado, apresentar mensagem ""Somente é possível informar o município do laboratório, se informada a UF do laboratório.""

Se o código do municipio não for um valor válido de acordo com a tabela corporativa de município, deverá aparecer a mensagem: ""Município com código desconhecido"".

O município deve pertencer a UF informada no campo UF de nascimento. Caso contrário apresentar mensagem ""Município não pertence à UF"".

";;;;;;;;;;;;;;;;;;
REGISTRO DO LABORATÓRIO - VÍNCULO AO CURSO - REGISTRO 12;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Tipo do registro;;2;Fixo;Numérico;Inteiro;Condicional;"Se o tipo do registro informado for diferente de 12 deverá aparecer a mensagem: ""Preencher com o valor 12"".

Se o campo ""O laboratório esteve ativo no do Censo?"" com o valor ""1-Sim"" e tipo de registro não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para o tipo de registro"".";;;;;;;;;;;;;;;;;;
2;Código do curso no INEP;;12;Variável;Numérico;Inteiro;Condicional;"Se o código do curso foi informado mais de uma vez no mesmo laboratório, deverá apresentar mensagem:
""Vínculo do laboratório ao curso duplicado no arquivo"".

Se o campo ""O laboratório esteve ativo no do Censo?"" com o valor ""1-Sim"" e tipo de registro não for informado, deverá apresentar a mensagem: ""Preenchimento obrigatório para o código de curso"".";"Se o código do curso informado não pertence à IES, deverá apresentar mensagem:
""Código do curso informado inválido""

Se o curso não foi informado com ""Sim"" no campo ""Curso possui aluno vinculado no <ano de referência>?"", apresentar mensagem de erro ""Só pode ser vinculado a curso que tenham sido informados com 'Sim' no campo 'Curso possui aluno vinculado no <ano de referência>?'.""
";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
